project_id,group_id,number_of_tasks,finished_count,required_count,project_type_specifics
5519,145,202,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119253"", ""yMax"": ""122964"", ""yMin"": ""122962"", ""zoomLevel"": 18}"
5519,190,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122931"", ""yMin"": ""122929"", ""zoomLevel"": 18}"
5519,203,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122922"", ""yMin"": ""122920"", ""zoomLevel"": 18}"
5519,214,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122913"", ""yMin"": ""122911"", ""zoomLevel"": 18}"
5519,115,123,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119449"", ""xMin"": ""119400"", ""yMax"": ""122988"", ""yMin"": ""122986"", ""zoomLevel"": 18}"
5519,246,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122889"", ""yMin"": ""122887"", ""zoomLevel"": 18}"
5519,249,63,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119298"", ""yMax"": ""122886"", ""yMin"": ""122884"", ""zoomLevel"": 18}"
5519,156,90,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122958"", ""yMin"": ""122956"", ""zoomLevel"": 18}"
5519,109,110,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119283"", ""yMax"": ""122991"", ""yMin"": ""122989"", ""zoomLevel"": 18}"
5519,189,219,12,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119247"", ""yMax"": ""122931"", ""yMin"": ""122929"", ""zoomLevel"": 18}"
5519,275,189,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119463"", ""xMin"": ""119400"", ""yMax"": ""122868"", ""yMin"": ""122866"", ""zoomLevel"": 18}"
5519,149,210,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119250"", ""yMax"": ""122961"", ""yMin"": ""122959"", ""zoomLevel"": 18}"
5519,178,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122940"", ""yMin"": ""122938"", ""zoomLevel"": 18}"
5519,195,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122928"", ""yMin"": ""122926"", ""zoomLevel"": 18}"
5519,210,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122916"", ""yMin"": ""122914"", ""zoomLevel"": 18}"
5519,238,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122895"", ""yMin"": ""122893"", ""zoomLevel"": 18}"
5519,266,239,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122874"", ""yMin"": ""122872"", ""zoomLevel"": 18}"
5519,282,128,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119379"", ""xMin"": ""119329"", ""yMax"": ""122862"", ""yMin"": ""122860"", ""zoomLevel"": 18}"
5519,167,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122949"", ""yMin"": ""122947"", ""zoomLevel"": 18}"
5519,271,202,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119468"", ""xMin"": ""119400"", ""yMax"": ""122871"", ""yMin"": ""122869"", ""zoomLevel"": 18}"
5519,198,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122925"", ""yMin"": ""122923"", ""zoomLevel"": 18}"
5519,160,81,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122955"", ""yMin"": ""122953"", ""zoomLevel"": 18}"
5519,283,143,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119455"", ""xMin"": ""119402"", ""yMax"": ""122862"", ""yMin"": ""122860"", ""zoomLevel"": 18}"
5519,261,13,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119315"", ""yMax"": ""122877"", ""yMin"": ""122875"", ""zoomLevel"": 18}"
5519,187,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122934"", ""yMin"": ""122932"", ""zoomLevel"": 18}"
5519,101,55,11,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119298"", ""yMax"": ""122997"", ""yMin"": ""122995"", ""zoomLevel"": 18}"
5519,118,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122985"", ""yMin"": ""122983"", ""zoomLevel"": 18}"
